,date,event_type,description
189,2022-06-30,mindful,
190,2022-07-01,mindful,
191,2022-07-02,mindful,
192,2022-07-03,mindful,
193,2022-07-04,mindful,
194,2022-07-05,mindful,
195,2022-07-06,mindful,🧘 
196,2022-07-07,mindful,
197,2022-07-08,mindful,
198,2022-07-09,mindful,
199,2022-07-10,mindful,
